"Accounts: (16 Rules)","","","","","","","","","",""
"Account Management:","","","","","","","","","",""
"V-38439","medium","The system must provide automated support for account management functions.","A comprehensive account management process that includes automation helps to ensure the accounts designated as requiring attention are consistently and promptly addressed. Enterprise environments make user account management challenging and complex. A user management process requiring administrators to manually address account management functions adds risk of potential oversight.","None","SV-50239r1_rule","F-43384r1_fix","Implement an automated system for managing user accounts that minimizes the risk of errors, either intentional or deliberate.  If possible, this system should integrate with an existing enterprise user management system, such as, one based Active Directory or Kerberos.","C-45994r1_chk","Interview the SA to determine if there is an automated system for managing user accounts, preferably integrated with an existing enterprise user management system.

If there is not, this is a finding.",""
"V-38500","medium","The root account must be the only account having a UID of 0.","An account has root authority if it has a UID of 0. Multiple accounts with a UID of 0 afford more opportunity for potential intruders to guess a password for a privileged account. Proper configuration of sudo is recommended to afford multiple system administrators access to root privileges in an accountable manner.","None","SV-50301r2_rule","F-43447r1_fix","If any account other than root has a UID of 0, this misconfiguration should be investigated and the accounts other than root should be removed or have their UID changed.","C-46057r2_chk","To list all password file entries for accounts with UID 0, run the following command:

# awk -F: '($3 == 0) {print}' /etc/passwd

This should print only one line, for the user root.
If any account other than root has a UID of 0, this is a finding.",""
"V-38683","low","All accounts on the system must have unique user or account names","Unique usernames allow for accountability on the system.","None","SV-50484r1_rule","F-43632r1_fix","Change usernames, or delete accounts, so each has a unique name.","C-46245r1_chk","Run the following command to check for duplicate account names:

# pwck -rq

If there are no duplicate names, no line will be returned.
If a line is returned, this is a finding.",""
"V-38690","low","Emergency accounts must be provisioned with an expiration date.","When emergency accounts are created, there is a risk they may remain in place and active after the need for them no longer exists. Account expiration greatly reduces the risk of accounts being misused or hijacked.","None","SV-50491r1_rule","F-43639r1_fix","In the event emergency accounts are required, configure the system to terminate them after a documented time period. For every emergency account, run the following command to set an expiration date on it, substituting ""[USER]"" and ""[YYYY-MM-DD]"" appropriately:

# chage -E [YYYY-MM-DD] [USER]

""[YYYY-MM-DD]"" indicates the documented expiration date for the account.","C-46251r1_chk","For every emergency account, run the following command to obtain its account aging and expiration information:

# chage -l [USER]

Verify each of these accounts has an expiration date set as documented.
If any emergency accounts have no expiration date set or do not expire within a documented time frame, this is a finding.",""
"V-38685","low","Temporary accounts must be provisioned with an expiration date.","When temporary accounts are created, there is a risk they may remain in place and active after the need for them no longer exists. Account expiration greatly reduces the risk of accounts being misused or hijacked.","None","SV-50486r1_rule","F-43634r1_fix","In the event temporary accounts are required, configure the system to terminate them after a documented time period. For every temporary account, run the following command to set an expiration date on it, substituting ""[USER]"" and ""[YYYY-MM-DD]"" appropriately:

# chage -E [YYYY-MM-DD] [USER]

""[YYYY-MM-DD]"" indicates the documented expiration date for the account.","C-46247r1_chk","For every temporary account, run the following command to obtain its account aging and expiration information:

# chage -l [USER]

Verify each of these accounts has an expiration date set as documented.
If any temporary accounts have no expiration date set or do not expire within a documented time frame, this is a finding.",""
"Locking Accounts:","","","","","","","","","",""
"V-38692","low","Accounts must be locked upon 35 days of inactivity.","Disabling inactive accounts ensures that accounts which may not have been responsibly removed are not available to attackers who may have compromised their credentials.","None","SV-50493r1_rule","F-43641r2_fix","To specify the number of days after a password expires (which signifies inactivity) until an account is permanently disabled, add or correct the following lines in ""/etc/default/useradd"", substituting ""[NUM_DAYS]"" appropriately:

INACTIVE=[NUM_DAYS]

A value of 35 is recommended. If a password is currently on the verge of expiration, then 35 days remain until the account is automatically disabled. However, if the password will not expire for another 60 days, then 95 days could elapse until the account would be automatically disabled. See the ""useradd"" man page for more information. Determining the inactivity timeout must be done with careful consideration of the length of a ""normal"" period of inactivity for users in the particular environment. Setting the timeout too low incurs support costs and also has the potential to impact availability of the system to legitimate users.","C-46254r2_chk","To verify the ""INACTIVE"" setting, run the following command:

grep ""INACTIVE"" /etc/default/useradd

The output should indicate the ""INACTIVE"" configuration option is set to an appropriate integer as shown in the example below:

# grep ""INACTIVE"" /etc/default/useradd
INACTIVE=35

If it does not, this is a finding.",""
"V-38496","medium","Default operating system accounts, other than root, must be locked.","Disabling authentication for default system accounts makes it more difficult for attackers to make use of them to compromise a system.","None","SV-50297r3_rule","F-43442r2_fix","Some accounts are not associated with a human user of the system, and exist to perform some administrative function. An attacker should not be able to log into these accounts.

Disable logon access to these accounts with the command:

# passwd -l [SYSACCT]","C-46052r2_chk","To obtain a listing of all users and the contents of their shadow password field, run the command:

$ awk -F: '$1 !~ /^root$/ && $2 !~ /^[!*]/ {print $1 "":"" $2}' /etc/shadow

Identify the operating system accounts from this listing. These will primarily be the accounts with UID numbers less than 500, other than root.

If any default operating system account (other than root) has a valid password hash, this is a finding.",""
"Logon:","","","","","","","","","",""
"Root Limitations:","","","","","","","","","",""
