"Network Connections","","","","","","","","","",""
"Overall:","","","","","","","","","",""
"V-38686","medium","The systems local firewall must implement a deny-all, allow-by-exception policy for forwarded packets.","In ""iptables"" the default policy is applied only after all the applicable rules in the table are examined for a match. Setting the default policy to ""DROP"" implements proper design for a firewall, i.e., any packets which are not explicitly permitted should not be accepted.","None","SV-50487r1_rule","F-43635r1_fix","To set the default policy to DROP (instead of ACCEPT) for the built-in FORWARD chain which processes packets that will be forwarded from one interface to another, add or correct the following line in ""/etc/sysconfig/iptables"": 

:FORWARD DROP [0:0]","C-46248r1_chk","Run the following command to ensure the default ""FORWARD"" policy is ""DROP"": 

grep "":FORWARD"" /etc/sysconfig/iptables

The output must be the following: 

# grep "":FORWARD"" /etc/sysconfig/iptables
:FORWARD DROP [0:0]

If it is not, this is a finding.","??"
"V-38687","low","The system must provide VPN connectivity for communications over untrusted networks.","Providing the ability for remote users or systems to initiate a secure VPN connection protects information when it is transmitted over a wide area network.","None","SV-50488r2_rule","F-43636r1_fix","The Openswan package provides an implementation of IPsec and IKE, which permits the creation of secure tunnels over untrusted networks. The ""openswan"" package can be installed with the following command: 

# yum install openswan","C-46249r2_chk","If the system does not communicate over untrusted networks, this is not applicable.

Run the following command to determine if the ""openswan"" package is installed: 

# rpm -q openswan


If the package is not installed, this is a finding.",""
"V-38528","low","The system must log Martian packets.","The presence of ""martian"" packets (which have impossible addresses) as well as spoofed packets, source-routed packets, and redirects could be a sign of nefarious network activity. Logging these packets enables this activity to be detected.","None","SV-50329r2_rule","F-43476r1_fix","To set the runtime status of the ""net.ipv4.conf.all.log_martians"" kernel parameter, run the following command: 

# sysctl -w net.ipv4.conf.all.log_martians=1

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

net.ipv4.conf.all.log_martians = 1","C-46086r3_chk","The status of the ""net.ipv4.conf.all.log_martians"" kernel parameter can be queried by running the following command:

$ sysctl net.ipv4.conf.all.log_martians

The output of the command should indicate a value of ""1"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"".

$ grep net.ipv4.conf.all.log_martians /etc/sysctl.conf

If the correct value is not returned, this is a finding. ","??"
"IPv4:","","","","","","","","","",""
"V-38511","medium","IP forwarding for IPv4 must not be enabled, unless the system is a router.","IP forwarding permits the kernel to forward packets from one network interface to another. The ability to forward packets between two networks is only appropriate for systems acting as routers.","None","SV-50312r2_rule","F-43458r2_fix","To set the runtime status of the ""net.ipv4.ip_forward"" kernel parameter, run the following command: 

# sysctl -w net.ipv4.ip_forward=0

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

net.ipv4.ip_forward = 0","C-46068r3_chk","The status of the ""net.ipv4.ip_forward"" kernel parameter can be queried by running the following command:

$ sysctl net.ipv4.ip_forward

The output of the command should indicate a value of ""0"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"".

$ grep net.ipv4.ip_forward /etc/sysctl.conf

The ability to forward packets is only appropriate for routers. If the correct value is not returned, this is a finding. ",""
"V-38513","medium","The systems local IPv4 firewall must implement a deny-all, allow-by-exception policy for inbound packets.","In ""iptables"" the default policy is applied only after all the applicable rules in the table are examined for a match. Setting the default policy to ""DROP"" implements proper design for a firewall, i.e., any packets which are not explicitly permitted should not be accepted.","None","SV-50314r1_rule","F-43460r1_fix","To set the default policy to DROP (instead of ACCEPT) for the built-in INPUT chain which processes incoming packets, add or correct the following line in ""/etc/sysconfig/iptables"": 

:INPUT DROP [0:0]","C-46070r1_chk","Inspect the file ""/etc/sysconfig/iptables"" to determine the default policy for the INPUT chain. It should be set to DROP. 

# grep "":INPUT"" /etc/sysconfig/iptables

If the default policy for the INPUT chain is not set to DROP, this is a finding.",""
"V-38523","medium","The system must not accept IPv4 source-routed packets on any interface.","Accepting source-routed packets in the IPv4 protocol has few legitimate uses. It should be disabled unless it is absolutely required.","None","SV-50324r2_rule","F-43471r1_fix","To set the runtime status of the ""net.ipv4.conf.all.accept_source_route"" kernel parameter, run the following command: 

# sysctl -w net.ipv4.conf.all.accept_source_route=0

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

net.ipv4.conf.all.accept_source_route = 0","C-46081r3_chk","The status of the ""net.ipv4.conf.all.accept_source_route"" kernel parameter can be queried by running the following command:

$ sysctl net.ipv4.conf.all.accept_source_route

The output of the command should indicate a value of ""0"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"".

$ grep net.ipv4.conf.all.accept_source_route /etc/sysctl.conf

If the correct value is not returned, this is a finding. ",""
"V-38529","medium","The system must not accept IPv4 source-routed packets by default.","Accepting source-routed packets in the IPv4 protocol has few legitimate uses. It should be disabled unless it is absolutely required.","None","SV-50330r2_rule","F-43478r1_fix","To set the runtime status of the ""net.ipv4.conf.default.accept_source_route"" kernel parameter, run the following command: 

# sysctl -w net.ipv4.conf.default.accept_source_route=0

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

net.ipv4.conf.default.accept_source_route = 0","C-46088r2_chk","The status of the ""net.ipv4.conf.default.accept_source_route"" kernel parameter can be queried by running the following command:

$ sysctl net.ipv4.conf.default.accept_source_route

The output of the command should indicate a value of ""0"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"".

$ grep net.ipv4.conf.default.accept_source_route /etc/sysctl.conf

If the correct value is not returned, this is a finding. ",""
"V-38542","medium","The system must use a reverse-path filter for IPv4 network traffic when possible on all interfaces.","Enabling reverse path filtering drops packets with source addresses that should not have been able to be received on the interface they were received on. It should not be used on systems which are routers for complicated networks, but is helpful for end hosts and routers serving small networks.","None","SV-50343r2_rule","F-43490r1_fix","To set the runtime status of the ""net.ipv4.conf.all.rp_filter"" kernel parameter, run the following command: 

# sysctl -w net.ipv4.conf.all.rp_filter=1

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

net.ipv4.conf.all.rp_filter = 1","C-46100r2_chk","The status of the ""net.ipv4.conf.all.rp_filter"" kernel parameter can be queried by running the following command:

$ sysctl net.ipv4.conf.all.rp_filter

The output of the command should indicate a value of ""1"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"".

$ grep net.ipv4.conf.all.rp_filter /etc/sysctl.conf

If the correct value is not returned, this is a finding. ",""
"V-38544","medium","The system must use a reverse-path filter for IPv4 network traffic when possible by default.","Enabling reverse path filtering drops packets with source addresses that should not have been able to be received on the interface they were received on. It should not be used on systems which are routers for complicated networks, but is helpful for end hosts and routers serving small networks.","None","SV-50345r2_rule","F-43492r1_fix","To set the runtime status of the ""net.ipv4.conf.default.rp_filter"" kernel parameter, run the following command: 

# sysctl -w net.ipv4.conf.default.rp_filter=1

If this is not the system's default value, add the following line to ""/etc/sysctl.conf"": 

net.ipv4.conf.default.rp_filter = 1","C-46102r2_chk","The status of the ""net.ipv4.conf.default.rp_filter"" kernel parameter can be queried by running the following command:

$ sysctl net.ipv4.conf.default.rp_filter

The output of the command should indicate a value of ""1"". If this value is not the default value, investigate how it could have been adjusted at runtime, and verify it is not set improperly in ""/etc/sysctl.conf"".

$ grep net.ipv4.conf.default.rp_filter /etc/sysctl.conf

If the correct value is not returned, this is a finding. ",""
