"Password","","","","","","","","","","","","",""
"V-38497","high","The system must not have accounts configured with blank or null passwords.","If an account has an empty password, anyone could log in and run commands with the privileges of that account. Accounts with empty passwords should never be used in operational environments.","None","SV-50298r2_rule","F-43444r4_fix","If an account is configured for password authentication but does not have an assigned password, it may be possible to log onto the account without authentication. Remove any instances of the ""nullok"" option in ""/etc/pam.d/system-auth"" to prevent logons with empty passwords.","C-46054r2_chk","To verify that null passwords cannot be used, run the following command:

# grep nullok /etc/pam.d/system-auth

If this produces any output, it may be possible to log into accounts with empty passwords.
If NULL passwords can be used, this is a finding.","","","","??"
"V-38499","medium","The /etc/passwd file must not contain password hashes.C28","The hashes for all user account passwords should be stored in the file ""/etc/shadow"" and never in ""/etc/passwd"", which is readable by all users.","None","SV-50300r1_rule","F-43446r1_fix","If any password hashes are stored in ""/etc/passwd"" (in the second field, instead of an ""x""), the cause of this misconfiguration should be investigated. The account should have its password reset and the hash should be properly stored, or the account should be deleted entirely.","C-46056r1_chk","To check that no password hashes are stored in ""/etc/passwd"", run the following command:

# awk -F: '($2 != ""x"") {print}' /etc/passwd

If it produces any output, then a password hash is stored in ""/etc/passwd"".
If any stored hashes are found in /etc/passwd, this is a finding.","in file permissions as well","","","??"
"V-38614","high","The SSH daemon must not allow authentication using an empty password.","Configuring this setting for the SSH daemon provides additional assurance that remote login via SSH will require a password, even in the event of misconfiguration elsewhere.","None","SV-50415r1_rule","F-43562r1_fix","To explicitly disallow remote login from accounts with empty passwords, add or correct the following line in ""/etc/ssh/sshd_config"":

PermitEmptyPasswords no

Any accounts with empty passwords should be disabled immediately, and PAM configuration should prevent users from being able to assign themselves empty passwords.","C-46172r1_chk","To determine how the SSH daemon's ""PermitEmptyPasswords"" option is set, run the following command:

# grep -i PermitEmptyPasswords /etc/ssh/sshd_config

If no line, a commented line, or a line indicating the value ""no"" is returned, then the required value is set.
If the required value is not set, this is a finding.","in SSH Daemon too","","","??"
"V-38653","high","The snmpd service must not use a default password.","Presence of the default SNMP password enables querying of different system aspects and could result in unauthorized knowledge of the system.","None","SV-50454r1_rule","F-43602r1_fix","Edit ""/etc/snmp/snmpd.conf"", remove default community string ""public"". Upon doing that, restart the SNMP service:

# service snmpd restart","C-46213r1_chk","To ensure the default password is not set, run the following command:

# grep -v ""^#"" /etc/snmp/snmpd.conf| grep public

There should be no output.
If there is output, this is a finding.","snmpd service","","","??"
"Password Changes:","","","","","","","","","","","","",""
"V-38658","medium","The system must prohibit the reuse of passwords within twenty-four iterations.","Preventing reuse of previous passwords helps ensure that a compromised password is not reused by a user.","None","SV-50459r1_rule","F-43608r1_fix","Do not allow users to reuse recent passwords. This can be accomplished by using the ""remember"" option for the ""pam_unix"" PAM module. In the file ""/etc/pam.d/system-auth"", append ""remember=24"" to the line which refers to the ""pam_unix.so"" module, as shown:

password sufficient pam_unix.so [existing_options] remember=24

The DoD requirement is 24 passwords.","C-46219r1_chk","To verify the password reuse setting is compliant, run the following command:

$ grep remember /etc/pam.d/system-auth

The output should show the following at the end of the line:

remember=24


If it does not, this is a finding.","","","",""
"V-38477","medium","Users must not be able to change passwords more than once every 24 hours.","Setting the minimum password age protects against users cycling back to a favorite password after satisfying the password reuse requirement.","None","SV-50277r1_rule","F-43422r1_fix","To specify password minimum age for new accounts, edit the file ""/etc/login.defs"" and add or correct the following line, replacing [DAYS] appropriately:

PASS_MIN_DAYS [DAYS]

A value of 1 day is considered sufficient for many environments. The DoD requirement is 1.","C-46032r1_chk","To check the minimum password age, run the command:

$ grep PASS_MIN_DAYS /etc/login.defs

The DoD requirement is 1.
If it is not set to the required value, this is a finding.","","","",""
"V-38479","medium","User passwords must be changed at least every 60 days.","Setting the password maximum age ensures users are required to periodically change their passwords. This could possibly decrease the utility of a stolen password. Requiring shorter password lifetimes increases the risk of users writing down the password in a convenient location subject to physical compromise.","None","SV-50279r1_rule","F-43424r1_fix","To specify password maximum age for new accounts, edit the file ""/etc/login.defs"" and add or correct the following line, replacing [DAYS] appropriately:

PASS_MAX_DAYS [DAYS]

The DoD requirement is 60.","C-46034r1_chk","To check the maximum password age, run the command:

$ grep PASS_MAX_DAYS /etc/login.defs

The DoD requirement is 60.
If it is not set to the required value, this is a finding.","","","",""
"V-38480","low","Users must be warned 7 days in advance of password expiration.","Setting the password warning age enables users to make the change at a practical time.","None","SV-50280r1_rule","F-43425r1_fix","To specify how many days prior to password expiration that a warning will be issued to users, edit the file ""/etc/login.defs"" and add or correct the following line, replacing [DAYS] appropriately:

PASS_WARN_AGE [DAYS]

The DoD requirement is 7.","C-46035r1_chk","To check the password warning age, run the command:

$ grep PASS_WARN_AGE /etc/login.defs

The DoD requirement is 7.
If it is not set to the required value, this is a finding.","","","",""
"V-38572","low","The system must require at least four characters be changed between the old and new passwords during a password change.","Requiring a minimum number of different characters during password changes ensures that newly changed passwords should not resemble previously compromised ones. Note that passwords which are changed on compromised systems will still be compromised, however.","None","SV-50373r1_rule","F-43520r1_fix","The pam_cracklib module's ""difok"" parameter controls requirements for usage of different characters during a password change. Add ""difok=[NUM]"" after pam_cracklib.so to require differing characters when changing passwords, substituting [NUM] appropriately. The DoD requirement is 4.","C-46130r1_chk","To check how many characters must differ during a password change, run the following command:

$ grep pam_cracklib /etc/pam.d/system-auth

The ""difok"" parameter will indicate how many characters must differ. The DoD requires four characters differ during a password change. This would appear as ""difok=4"".
If difok is not found or not set to the required value, this is a finding.","","","",""
