"Services and Packages ","","","","","","","","","","","","","",""
"V-38481","medium","System security patches and updates must be installed and up-to-date.","Installing software updates is a fundamental mitigation against the exploitation of publicly-known vulnerabilities.","None","SV-50281r1_rule","F-43426r1_fix","If the system is joined to the Red Hat Network, a Red Hat Satellite Server, or a yum server, run the following command to install updates:

# yum update

If the system is not configured to use one of these sources, updates (in the form of RPM packages) can be manually downloaded from the Red Hat Network and installed using ""rpm"".","C-46036r1_chk","If the system is joined to the Red Hat Network, a Red Hat Satellite Server, or a yum server which provides updates, invoking the following command will indicate if updates are available:

# yum check-update

If the system is not configured to update from one of these sources, run the following command to list when each package was last updated:

$ rpm -qa -last

Compare this to Red Hat Security Advisories (RHSA) listed at https://access.redhat.com/security/updates/active/ to determine whether the system is missing applicable security and bugfix  updates.
If updates are not installed, this is a finding.","","","","",""
"Should not be enabled:","","","","","","","","","","","","","",""
"V-38587","high","The telnet-server package must not be installed.","Removing the ""telnet-server"" package decreases the risk of the unencrypted telnet service's accidental (or intentional) activation.

Mitigation:  If the telnet-server package is configured to only allow encrypted sessions, such as with Kerberos or the use of encrypted network tunnels, the risk of exposing sensitive information is mitigated.","None","SV-50388r1_rule","F-43535r1_fix","The ""telnet-server"" package can be uninstalled with the following command:

# yum erase telnet-server","C-46144r1_chk","Run the following command to determine if the ""telnet-server"" package is installed:

# rpm -q telnet-server


If the package is installed, this is a finding.","Telnet","","","",""
"V-38589","high","The telnet daemon must not be running.","The telnet protocol uses unencrypted network communication, which means that data from the login session, including passwords and all other information transmitted during the session, can be stolen by eavesdroppers on the network. The telnet protocol is also subject to man-in-the-middle attacks.

Mitigation:  If an enabled telnet daemon is configured to only allow encrypted sessions, such as with Kerberos or the use of encrypted network tunnels, the risk of exposing sensitive information is mitigated.","None","SV-50390r2_rule","F-43537r1_fix","The ""telnet"" service can be disabled with the following command:

# chkconfig telnet off","C-46147r3_chk","To check that the ""telnet"" service is disabled in system boot configuration, run the following command:

# chkconfig ""telnet"" --list

Output should indicate the ""telnet"" service has either not been installed, or has been disabled, as shown in the example below:

# chkconfig ""telnet"" --list
telnet         off
OR
error reading information on service telnet: No such file or directory


If the service is running, this is a finding.","","","","",""
"V-38591","high","The rsh-server package must not be installed.C16","The ""rsh-server"" package provides several obsolete and insecure network services. Removing it decreases the risk of those services' accidental (or intentional) activation.","None","SV-50392r1_rule","F-43539r1_fix","The ""rsh-server"" package can be uninstalled with the following command:

# yum erase rsh-server","C-46149r1_chk","Run the following command to determine if the ""rsh-server"" package is installed:

# rpm -q rsh-server


If the package is installed, this is a finding.","rlogin packet","related to telnet, ","part of rlogin package","app layer protocol","remote shell"
"V-38594","high","The rshd service must not be running.","The rsh service uses unencrypted network communications, which means that data from the login session, including passwords and all other information transmitted during the session, can be stolen by eavesdroppers on the network.","None","SV-50395r2_rule","F-43542r3_fix","The ""rsh"" service, which is available with the ""rsh-server"" package and runs as a service through xinetd, should be disabled. The ""rsh"" service can be disabled with the following command:

# chkconfig rsh off","C-46152r2_chk","To check that the ""rsh"" service is disabled in system boot configuration, run the following command:

# chkconfig ""rsh"" --list

Output should indicate the ""rsh"" service has either not been installed, or has been disabled, as shown in the example below:

# chkconfig ""rsh"" --list
rsh off
OR
error reading information on service rsh: No such file or directory


If the service is running, this is a finding.","","rshd uses TCP","part of rlogin package","app layer protocol","rsh daemon"
"V-38598","high","The rexecd service must not be running.","The rexec service uses unencrypted network communications, which means that data from the login session, including passwords and all other information transmitted during the session, can be stolen by eavesdroppers on the network.","None","SV-50399r2_rule","F-43546r3_fix","The ""rexec"" service, which is available with the ""rsh-server"" package and runs as a service through xinetd, should be disabled. The ""rexec"" service can be disabled with the following command:

# chkconfig rexec off","C-46156r3_chk","To check that the ""rexec"" service is disabled in system boot configuration, run the following command:

# chkconfig ""rexec"" --list

Output should indicate the ""rexec"" service has either not been installed, or has been disabled, as shown in the example below:

# chkconfig ""rexec"" --list
rexec off
OR
error reading information on service rexec: No such file or directory


If the service is running, this is a finding.","","","","","remote execution server"
"V-38602","high","The rlogind service must not be running.","The rlogin service uses unencrypted network communications, which means that data from the login session, including passwords and all other information transmitted during the session, can be stolen by eavesdroppers on the network.","None","SV-50403r2_rule","F-43549r3_fix","The ""rlogin"" service, which is available with the ""rsh-server"" package and runs as a service through xinetd, should be disabled. The ""rlogin"" service can be disabled with the following command:

# chkconfig rlogin off","C-46158r3_chk","
To check that the ""rlogin"" service is disabled in system boot configuration, run the following command:

# chkconfig ""rlogin"" --list

Output should indicate the ""rlogin"" service has either not been installed, or has been disabled, as shown in the example below:

# chkconfig ""rlogin"" --list
rlogin off
OR
error reading information on service rlogin: No such file or directory


If the service is running, this is a finding.","","TCP","","application layer protocol","related to telnet, .rhosts"
"V-38679","medium","The DHCP client must be disabled if not needed.","DHCP relies on trusting the local network. If the local network is not trusted, then it should not be used. However, the automatic configuration provided by DHCP is commonly used and the alternative, manual configuration, presents an unacceptable burden in many circumstances.","None","SV-50480r2_rule","F-43628r2_fix","For each interface [IFACE] on the system (e.g. eth0), edit ""/etc/sysconfig/network-scripts/ifcfg-[IFACE]"" and make the following changes.

Correct the BOOTPROTO line to read:

BOOTPROTO=none


Add or correct the following lines, substituting the appropriate values based on your site's addressing scheme:

NETMASK=[local LAN netmask]
IPADDR=[assigned IP address]
GATEWAY=[local LAN default gateway]","C-46242r2_chk","To verify that DHCP is not being used, examine the following file for each interface.

# /etc/sysconfig/network-scripts/ifcfg-[IFACE]

If there is any network interface without a associated ""ifcfg"" file, this is a finding.

Look for the following:

BOOTPROTO=none

Also verify the following, substituting the appropriate values based on your site's addressing scheme:

NETMASK=[local LAN netmask]
IPADDR=[assigned IP address]
GATEWAY=[local LAN default gateway]


If it does not, this is a finding.","","","","",""
"V-38603","medium","The ypserv package must not be installed.","Removing the ""ypserv"" package decreases the risk of the accidental (or intentional) activation of NIS or NIS+ services.","None","SV-50404r1_rule","F-43551r1_fix","The ""ypserv"" package can be uninstalled with the following command:

# yum erase ypserv","C-46161r1_chk","Run the following command to determine if the ""ypserv"" package is installed:

# rpm -q ypserv


If the package is installed, this is a finding.","","nis; yellow pages","","",""
