"UNIX File Permissions","","","","","","","","","","",""
"Ownership:","","","","","","","","","","",""
"V-38443","medium","The /etc/gshadow file must be owned by root.","The ""/etc/gshadow"" file contains group password hashes. Protection of this file is critical for system security.","None","SV-50243r1_rule","F-43388r1_fix","To properly set the owner of ""/etc/gshadow"", run the command:

# chown root /etc/gshadow","C-45998r1_chk","To check the ownership of ""/etc/gshadow"", run the command:

$ ls -l /etc/gshadow

If properly configured, the output should indicate the following owner: ""root""
If it does not, this is a finding.","",""
"V-38450","medium","The /etc/passwd file must be owned by root.","The ""/etc/passwd"" file contains information about the users that are configured on the system. Protection of this file is critical for system security.","None","SV-50250r1_rule","F-43395r1_fix","To properly set the owner of ""/etc/passwd"", run the command:

# chown root /etc/passwd","C-46005r1_chk","To check the ownership of ""/etc/passwd"", run the command:

$ ls -l /etc/passwd

If properly configured, the output should indicate the following owner: ""root""
If it does not, this is a finding.","",""
"V-38458","medium","The /etc/group file must be owned by root.","The ""/etc/group"" file contains information regarding groups that are configured on the system. Protection of this file is important for system security.","None","SV-50258r1_rule","F-43403r1_fix","To properly set the owner of ""/etc/group"", run the command:

# chown root /etc/group","C-46013r1_chk","To check the ownership of ""/etc/group"", run the command:

$ ls -l /etc/group

If properly configured, the output should indicate the following owner: ""root""
If it does not, this is a finding.","",""
"V-38466","medium","Library files must be owned by root.","Files from shared library directories are loaded into the address space of processes (including privileged ones) or of the kernel itself at runtime. Proper ownership is necessary to protect the integrity of the system.","None","SV-50266r1_rule","F-43411r1_fix","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default:

/lib
/lib64
/usr/lib
/usr/lib64

If any file in these directories is found to be owned by a user other than root, correct its ownership with the following command:

# chown root [FILE]","C-46021r1_chk","System-wide shared library files, which are linked to executables during process load time or run time, are stored in the following directories by default:

/lib
/lib64
/usr/lib
/usr/lib64


Kernel modules, which can be added to the kernel during runtime, are stored in ""/lib/modules"". All files in these directories should not be group-writable or world-writable.  To find shared libraries that are not owned by ""root"", run the following command for each directory [DIR] which contains shared libraries:

$ find -L [DIR] \! -user root


If any of these files are not owned by root, this is a finding.","",""
"V-38472","medium","All system command files must be owned by root.","System binaries are executed by privileged users as well as system services, and restrictive permissions are necessary to ensure that their execution of these programs cannot be co-opted.","None","SV-50272r1_rule","F-43417r1_fix","System executables are stored in the following directories by default:

/bin
/usr/bin
/usr/local/bin
/sbin
/usr/sbin
/usr/local/sbin

If any file [FILE] in these directories is found to be owned by a user other than root, correct its ownership with the following command:

# chown root [FILE]","C-46027r1_chk","System executables are stored in the following directories by default:

/bin
/usr/bin
/usr/local/bin
/sbin
/usr/sbin
/usr/local/sbin

All files in these directories should not be group-writable or world-writable. To find system executables that are not owned by ""root"", run the following command for each directory [DIR] which contains system executables:

$ find -L [DIR] \! -user root


If any system executables are found to not be owned by root, this is a finding.","",""
"V-38495","medium","Audit log files must be owned by root.","If non-privileged users can write to audit logs, audit trails can be modified or destroyed.","None","SV-50296r1_rule","F-43443r1_fix","Change the owner of the audit log files with the following command:

# chown root [audit_file]","C-46053r1_chk","Run the following command to check the owner of the system audit logs:

grep ""^log_file"" /etc/audit/auditd.conf|sed s/^[^\/]*//|xargs stat -c %U:%n

Audit logs must be owned by root.
If they are not, this is a finding.","",""
"V-38502","medium","The /etc/shadow file must be owned by root.","The ""/etc/shadow"" file contains the list of local system accounts and stores password hashes. Protection of this file is critical for system security. Failure to give ownership of this file to root provides the designated owner with access to sensitive information which could weaken the system security posture.","None","SV-50303r1_rule","F-43449r1_fix","To properly set the owner of ""/etc/shadow"", run the command:

# chown root /etc/shadow","C-46059r1_chk","To check the ownership of ""/etc/shadow"", run the command:

$ ls -l /etc/shadow

If properly configured, the output should indicate the following owner: ""root""
If it does not, this is a finding.","",""
"V-38518","medium","All rsyslog-generated log files must be owned by root.","The log files generated by rsyslog contain valuable information regarding system configuration, user authentication, and other such information. Log files should be protected from unauthorized access.","None","SV-50319r2_rule","F-43465r1_fix","The owner of all log files written by ""rsyslog"" should be root. These log files are determined by the second part of each Rule line in ""/etc/rsyslog.conf"" typically all appear in ""/var/log"". For each log file [LOGFILE] referenced in ""/etc/rsyslog.conf"", run the following command to inspect the file's owner:

$ ls -l [LOGFILE]

If the owner is not ""root"", run the following command to correct this:

# chown root [LOGFILE]","C-46075r2_chk","The owner of all log files written by ""rsyslog"" should be root. These log files are determined by the second part of each Rule line in ""/etc/rsyslog.conf"" and typically all appear in ""/var/log"". To see the owner of a given log file, run the following command:

$ ls -l [LOGFILE]

Some log files referenced in /etc/rsyslog.conf may be created by other programs and may require exclusion from consideration.

If the owner is not root, this is a finding. ","",""
"V-38579","medium","The system boot loader configuration file(s) must be owned by root.","Only root should be able to modify important boot parameters.","None","SV-50380r1_rule","F-43527r1_fix","The file ""/etc/grub.conf"" should be owned by the ""root"" user to prevent destruction or modification of the file. To properly set the owner of ""/etc/grub.conf"", run the command:

# chown root /etc/grub.conf","C-46137r1_chk","To check the ownership of ""/etc/grub.conf"", run the command:

$ ls -lL /etc/grub.conf

If properly configured, the output should indicate the following owner: ""root""
If it does not, this is a finding.","",""
"Group-Ownership:","","","","","","","","","","",""
